Sequence Name	mcg	gvh	alm	mit	erl	pox	vac	nuc	class
ADT1_YEAST	0.58	0.61	0.47	0.13	0.5	0	0.48	0.22	MIT
ACE1_YEAST	0.43	0.39	0.54	0.21	0.5	0	0.53	0.27	NUC
C1TC_YEAST	0.45	0.4	0.5	0.16	0.5	0	0.5	0.22	CYT
ADR1_YEAST	0.53	0.54	0.43	0.1	0.5	0	0.57	0.32	NUC
ALG1_YEAST	0.86	0.68	0.39	0.24	0.5	0	0.54	0.22	ME2
ADB2_YEAST	0.48	0.39	0.51	0.21	0.5	0	0.52	0.28	CYT
ARGD_YEAST	0.43	0.35	0.52	0.52	0.5	0	0.54	0.22	MIT
AST1_YEAST	0.48	0.42	0.52	0.24	0.5	0	0.56	0.22	CYT
ATPG_YEAST	0.48	0.45	0.55	0.5	0.5	0	0.53	0.22	MIT
BCK2_YEAST	0.36	0.46	0.62	0.46	0.5	0	0.51	0.33	CYT
BOS1_YEAST	0.36	0.58	0.35	0.24	0.5	0	0.44	0.22	ME3
CACP_YEAST	0.45	0.41	0.5	0.46	0.5	0.5	0.5	0.27	POX
NC5R_YEAST	0.64	0.62	0.29	0.28	0.5	0	0.51	0.22	MIT
CC10_YEAST	0.5	0.64	0.57	0.15	0.5	0	0.47	0.22	CYT
IF4E_YEAST	0.39	0.47	0.56	0.16	0.5	0	0.47	0.22	CYT
YB52_YEAST	0.58	0.5	0.5	0.12	0.5	0	0.48	0.25	NUC
RLUB_YEAST	0.4	0.42	0.71	0.21	0.5	0	0.54	0.32	CYT
CIK1_YEAST	0.31	0.44	0.53	0.23	0.5	0	0.51	0.32	NUC
CLC1_YEAST	0.24	0.34	0.69	0.18	0.5	0	0.52	0.22	CYT
CALX_YEAST	0.75	0.7	0.38	0.27	0.5	0	0.49	0.22	ME1
COXZ_YEAST	0.57	0.57	0.44	0.37	0.5	0	0.52	0.25	MIT
COX7_YEAST	0.37	0.58	0.44	0.51	0.5	0	0.44	0.22	MIT
