Sequence Name	mcg	gvh	alm	mit	erl	pox	vac	nuc	class
AATM_YEAST	0.42	0.44	0.48	0.54	0.5	0	0.48	0.22	MIT
ACR1_YEAST	0.66	0.55	0.45	0.19	0.5	0	0.46	0.22	MIT
ADH2_YEAST	0.46	0.53	0.52	0.15	0.5	0	0.58	0.22	CYT
AGA1_YEAST	0.78	0.74	0.42	0.26	0.5	0	0.43	0.22	ME1
MAN1_YEAST	0.37	0.36	0.56	0.18	0.5	0	0.48	0.26	VAC
ARF1_YEAST	0.64	0.59	0.56	0.23	0.5	0	0.46	0.22	CYT
ARO1_YEAST	0.54	0.48	0.44	0.08	0.5	0	0.52	0.27	CYT
ATPY_YEAST	0.46	0.49	0.58	0.23	0.5	0	0.44	0.22	MIT
ATP8_YEAST	0.67	0.62	0.4	0.43	0.5	0.83	0.5	0.22	MIT
BEM1_YEAST	0.49	0.61	0.49	0.25	0.5	0	0.5	0.28	CYT
CAP2_YEAST	0.47	0.39	0.55	0.24	0.5	0	0.47	0.22	CYT
CBF5_YEAST	0.45	0.51	0.5	0.16	0.5	0	0.52	1	NUC
ATU1_YEAST	0.54	0.55	0.34	0.31	0.5	0	0.54	0.22	ME3
CC23_YEAST	0.35	0.58	0.54	0.16	0.5	0	0.51	0.22	NUC
CC4_YEAST	0.43	0.57	0.53	0.16	0.5	0	0.54	0.22	CYT
CC68_YEAST	0.36	0.68	0.46	0.16	0.5	0	0.53	0.28	NUC
CHL4_YEAST	0.57	0.51	0.53	0.18	0.5	0	0.56	0.25	NUC
CISY_YEAST	0.38	0.68	0.44	0.45	0.5	0	0.53	0.22	MIT
CALM_YEAST	0.48	0.64	0.61	0.23	0.5	0	0.6	0.22	CYT
COQ2_YEAST	0.63	0.56	0.45	0.58	0.5	0	0.51	0.22	MIT
COX2_YEAST	0.59	0.61	0.34	0.22	0.5	0	0.51	0.22	MIT
CARB_YEAST	0.35	0.66	0.49	0.21	0.5	0	0.54	0.25	CYT
R142_YEAST	0.56	0.41	0.58	0.21	0.5	0	0.42	0.22	CYT
CHI2_YEAST	0.82	0.75	0.54	0.23	0.5	0	0.46	0.22	EXC
CYAA_YEAST	0.2	0.26	0.52	0.14	0.5	0	0.53	0.44	CYT
DAP2_YEAST	0.36	0.68	0.38	0.08	0.5	0	0.53	0.25	VAC
DHH1_YEAST	0.41	0.24	0.54	0.26	0.5	0	0.41	0.22	NUC
TFS2_YEAST	0.61	0.3	0.59	0.12	0.5	0	0.49	0.27	NUC
ENO2_YEAST	0.45	0.56	0.53	0.32	0.5	0	0.57	0.22	CYT
ER24_YEAST	0.63	0.61	0.41	0.22	0.5	0	0.51	0.22	ME3
EUG1_YEAST	0.77	0.8	0.51	0.4	1	0	0.54	0.22	ERL
FCY2_YEAST	0.46	0.35	0.33	0.17	0.5	0	0.55	0.22	ME3
FPS1_YEAST	0.42	0.52	0.4	0.17	0.5	0	0.5	0.26	ME3
FUS3_YEAST	0.51	0.58	0.54	0.29	0.5	0	0.53	0.22	CYT
GAP1_YEAST	0.49	0.46	0.34	0.21	0.5	0	0.55	0.22	ME3
GCN2_YEAST	0.37	0.33	0.5	0.12	0.5	0	0.51	0.54	CYT
DHE4_YEAST	0.38	0.47	0.53	0.12	0.5	0	0.48	0.22	CYT
SYQ_YEAST	0.49	0.42	0.54	0.17	0.5	0	0.5	0.36	CYT
SYG_YEAST	0.4	0.48	0.5	0.17	0.5	0	0.54	0.5	CYT
HAP3_YEAST	0.28	0.51	0.55	0.11	0.5	0	0.46	0.22	NUC
HEM3_YEAST	0.46	0.45	0.56	0.16	0.5	0	0.56	0.22	CYT
HMD1_YEAST	0.51	0.63	0.3	0.35	0.5	0	0.53	0.27	ME3
YJ64_YEAST	0.85	0.85	0.3	0.31	0.5	0	0.55	0.42	ME1
HS82_YEAST	0.61	0.54	0.49	0.19	0.5	0	0.54	0.47	CYT
HXT3_YEAST	0.34	0.4	0.3	0.23	0.5	0	0.51	0.22	ME3
IDHP_YEAST	0.51	0.52	0.48	0.5	0.5	0	0.51	0.22	MIT
INO1_YEAST	0.51	0.34	0.43	0.18	0.5	0	0.48	0.25	CYT
ITR2_YEAST	0.35	0.53	0.35	0.33	0.5	0	0.5	0.32	ME3
YJ90_YEAST	0.65	0.61	0.39	0.3	0.5	0	0.57	0.28	ME3
ODO2_YEAST	0.53	0.5	0.54	0.56	0.5	0	0.49	0.41	MIT
KR11_YEAST	0.27	0.56	0.56	0.18	0.5	0	0.52	0.22	CYT
KTR4_YEAST	0.94	0.6	0.33	0.49	0.5	0	0.54	0.22	ME2
LEU3_YEAST	0.54	0.54	0.49	0.14	0.5	0	0.56	0.22	CYT
LYS2_YEAST	0.46	0.47	0.46	0.16	0.5	0	0.51	0.22	CYT
MA6T_YEAST	0.39	0.37	0.33	0.23	0.5	0	0.52	0.26	ME3
MCM2_YEAST	0.26	0.38	0.52	0.36	0.5	0	0.48	0.56	NUC
MDS1_YEAST	0.46	0.57	0.52	0.28	0.5	0	0.52	0.22	NUC
MT17_YEAST	0.34	0.54	0.54	0.13	0.5	0	0.52	0.22	CYT
MGMT_YEAST	0.54	0.52	0.54	0.2	0.5	0	0.55	0.25	NUC
MNN9_YEAST	0.74	0.56	0.35	0.36	0.5	0	0.51	0.25	ME2
RT17_YEAST	0.41	0.54	0.58	0.2	0.5	0	0.52	0.22	MIT
RM25_YEAST	0.45	0.43	0.63	0.4	0.5	0	0.59	0.11	MIT
RM06_YEAST	0.62	0.59	0.54	0.47	0.5	0	0.46	0.22	MIT
MSB2_YEAST	0.76	0.76	0.35	0.27	0.5	0	0.44	0.22	ME1
MSN2_YEAST	0.53	0.4	0.57	0.12	0.5	0	0.53	0.32	NUC
MTD1_YEAST	0.57	0.4	0.48	0.24	0.5	0	0.55	0.22	CYT
YN94_YEAST	0.81	0.79	0.32	0.37	0.5	0	0.41	0.22	ME1
NAT1_YEAST	0.5	0.36	0.53	0.41	0.5	0	0.55	0.36	CYT
NHPB_YEAST	0.11	0.41	0.67	0.13	0.5	0	0.45	0.29	NUC
NOP3_YEAST	0.44	0.34	0.61	0.13	0.5	0	0.49	0.26	NUC
N116_YEAST	0.88	0.59	0.54	0.39	0.5	0	0.41	0.3	NUC
OPI1_YEAST	0.58	0.51	0.56	0.16	0.5	0	0.34	0.22	NUC
PAS1_YEAST	0.56	0.48	0.5	0.3	0.5	0	0.51	0.22	CYT
PDC2_YEAST	0.51	0.46	0.57	0.25	0.5	0	0.53	0.22	CYT
ODPX_YEAST	0.45	0.58	0.59	0.44	0.5	0	0.56	0.22	MIT
PT17_YEAST	0.75	0.6	0.43	0.35	0.5	0	0.45	0.27	MIT
6P2K_YEAST	0.45	0.41	0.49	0.14	1	0	0.53	0.3	CYT
PNPP_YEAST	0.38	0.62	0.52	0.14	0.5	0	0.53	0.22	CYT
PIF1_YEAST	0.59	0.61	0.51	0.62	0.5	0	0.51	0.38	MIT
ATC3_YEAST	0.4	0.39	0.33	0.17	0.5	0	0.51	0.31	VAC
DPOA_YEAST	0.36	0.39	0.54	0.16	0.5	0	0.5	0.28	NUC
IPY2_YEAST	0.42	0.65	0.58	0.34	0.5	0	0.5	0.22	MIT
PRCH_YEAST	0.42	0.53	0.57	0.17	0.5	0	0.49	0.22	CYT
PR02_YEAST	0.3	0.3	0.46	0.32	0.5	0	0.45	0.22	NUC
PR09_YEAST	0.51	0.39	0.56	0.25	0.5	0	0.51	0.33	NUC
PTP2_YEAST	0.45	0.27	0.5	0.33	0.5	0	0.53	0.26	CYT
PYC2_YEAST	0.43	0.46	0.5	0.21	0.5	0	0.49	0.34	CYT
RA14_YEAST	0.39	0.16	0.59	0.08	0.5	0	0.51	0.27	NUC
RA51_YEAST	0.55	0.59	0.53	0.15	0.5	0	0.49	0.22	NUC
RAM2_YEAST	0.4	0.6	0.5	0.16	0.5	0	0.51	0.22	CYT
RED1_YEAST	0.57	0.55	0.52	0.16	0.5	0	0.49	0.39	NUC
RGM1_YEAST	0.42	0.21	0.59	0.3	0.5	0	0.47	0.27	NUC
RN14_YEAST	0.37	0.58	0.5	0.22	0.5	0	0.47	0.22	NUC
RS24_YEAST	0.61	0.38	0.57	0.36	0.5	0	0.44	0.21	CYT
RPB2_YEAST	0.34	0.48	0.47	0.19	0.5	0	0.5	0.3	NUC
RPC9_YEAST	0.31	0.6	0.65	0.18	0.5	0	0.46	0.22	NUC
R14A_YEAST	0.57	0.43	0.52	0.3	0.5	0	0.37	0.11	CYT
RL19_YEAST	0.72	0.37	0.63	0.38	0.5	0	0.4	0.14	CYT
R37A_YEAST	0.4	0.45	0.61	0.29	0.5	0	0.44	0.22	CYT
RL71_YEAST	0.35	0.39	0.56	0.2	0.5	0	0.49	0.41	CYT
RPOM_YEAST	0.47	0.56	0.46	0.5	0.5	0	0.51	0.22	MIT
R26A_YEAST	0.46	0.54	0.59	0.41	0.5	0	0.53	0.21	CYT
RS4E_YEAST	0.53	0.57	0.6	0.36	0.5	0	0.5	0.22	CYT
FIMB_YEAST	0.51	0.4	0.5	0.28	0.5	0	0.48	0.27	CYT
DHSA_YEAST	0.56	0.65	0.49	0.56	0.5	0	0.49	0.22	MIT
SC15_YEAST	0.55	0.55	0.52	0.13	0.5	0	0.53	0.25	CYT
SC59_YEAST	0.51	0.51	0.32	0.27	0.5	0	0.54	0.22	ME3
SEC9_YEAST	0.39	0.3	0.63	0.2	0.5	0	0.43	0.47	CYT
AMYG_YEAST	0.7	0.78	0.53	0.24	0.5	0	0.48	0.22	VAC
SIP2_YEAST	0.42	0.42	0.55	0.31	0.5	0	0.43	0.22	NUC
SKO1_YEAST	0.47	0.55	0.57	0.17	0.5	0	0.52	0.66	NUC
SMD1_YEAST	0.48	0.55	0.58	0.18	0.5	0	0.38	0.69	NUC
SNF4_YEAST	0.43	0.47	0.47	0.18	0.5	0	0.47	0.22	CYT
SOK1_YEAST	0.46	0.41	0.45	0.23	0.5	0	0.48	0.22	NUC
SX18_YEAST	0.38	0.58	0.46	0.21	0.5	0	0.52	0.22	NUC
SPT5_YEAST	0.5	0.43	0.5	0.17	0.5	0	0.46	0.47	NUC
RCC_YEAST	0.31	0.5	0.54	0.32	0.5	0	0.53	0.31	NUC
HS73_YEAST	0.51	0.48	0.51	0.26	0.5	0	0.51	0.27	CYT
SSO2_YEAST	0.25	0.42	0.21	0.14	0.5	0	0.41	0.22	ME3
ST20_YEAST	0.3	0.45	0.55	0.19	0.5	0	0.53	0.4	CYT
STU1_YEAST	0.33	0.37	0.49	0.22	0.5	0	0.55	0.22	CYT
SUL1_YEAST	0.43	0.28	0.41	0.32	0.5	0	0.52	0.22	ME3
SWI6_YEAST	0.41	0.56	0.53	0.16	0.5	0	0.55	0.26	NUC
TCPG_YEAST	0.59	0.51	0.47	0.21	0.5	0	0.47	0.22	CYT
EF1G_YEAST	0.52	0.45	0.53	0.34	0.5	0	0.52	0.44	CYT
THRC_YEAST	0.54	0.55	0.55	0.4	0.5	0	0.53	0.22	CYT
IF51_YEAST	0.44	0.55	0.51	0.16	0.5	0	0.6	0.22	CYT
TOP1_YEAST	0.41	0.42	0.53	0.17	0.5	0	0.48	0.58	NUC
TPS1_YEAST	0.63	0.54	0.53	0.27	0.5	0	0.49	0.22	CYT
TRPD_YEAST	0.45	0.76	0.51	0.25	0.5	0	0.59	0.22	CYT
EFTU_YEAST	0.61	0.73	0.5	0.58	0.5	0	0.5	0.22	MIT
UBIQ_YEAST	0.46	0.47	0.62	0.3	0.5	0	0.38	0.22	CYT
PYRD_YEAST	0.48	0.39	0.56	0.23	0.5	0	0.6	0.22	CYT
VATA_YEAST	0.36	0.51	0.51	0.17	0.5	0	0.52	0.22	VAC
VM12_YEAST	0.4	0.36	0.32	0.16	0.5	0	0.51	0.27	VAC
OSTB_YEAST	0.78	0.71	0.35	0.25	0.5	0	0.49	0.22	ME1
YAG3_YEAST	0.88	0.75	0.41	0.36	0.5	0	0.43	0.22	ME2
YBC4_YEAST	0.32	0.3	0.57	0.38	0.5	0	0.5	0.25	NUC
YB32_YEAST	0.4	0.44	0.47	0.25	0.5	0	0.54	0.56	NUC
YCFI_YEAST	0.47	0.61	0.32	0.27	0.5	0	0.5	0.3	ME3
SYN_YEAST	0.47	0.41	0.53	0.27	0.5	0	0.47	0.25	MIT
MAS5_YEAST	0.64	0.44	0.56	0.15	0.5	0	0.56	0.22	CYT
YHC6_YEAST	0.61	0.76	0.3	0.16	0.5	0	0.45	0.41	ME3
YHN8_YEAST	0.86	0.78	0.34	0.15	0.5	0	0.53	0.22	ME2
YIA6_YEAST	0.51	0.59	0.46	0.13	0.5	0	0.48	0.22	MIT
MAOX_YEAST	0.57	0.59	0.49	0.86	0.5	0	0.47	0.22	NUC
YKY8_YEAST	0.25	0.4	0.52	0.15	0.5	0	0.56	0.28	NUC
YP52_YEAST	0.48	0.61	0.57	0.17	0.5	0	0.45	0.22	CYT
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
